id_prodi ,id_univ,nama_prodi,jumlah_dosen,jumlah_mahasiswa,akred_prodi,jenjang,,
316170,001031,Statistika,12,9937,B,S1,,
323016,001037,Statistika,24,219,Baik Sekali,S1,,
332521,335001,Komputasi Statistika,19,693,B,D4,,
332522,335001,Statistika,50,1092,B,D4,,
332523,335001,Statistika,26,330,Baik Sekali,D3,,
321030,001002,Statistika,14,338,Unggul,S1,,
341014,002003,Statistika dan Sains Data,30,432,Unggul,S1,,
341015,002003,Statistika dan Sains Data,30,184,Unggul,S2,,
341016,002003,Statistika dan Sains Data,30,44,Unggul,S3,,
333006,001007,Statistika,26,374,Unggul,S1,,
333007,001007,Statistika,10,75,Unggul,S2,,
356073,001041,Statistika Terapan dan Komputasi,45,131,A,D3,,
356074,001041,Statistika dan Sains Data,14,44,B,S1,,
355009,001008,Statistika,24,830,Unggul,S1,,
353029,001027,Statistika,26,359,Unggul,S1,,
381016,001004,Statistika,10,23,Unggul,S1,,
382040,002002,Statistika Bisnis,41,460,B,D4,,
382003,002002,Statistika,31,733,A,S1,,
302004,002002,Statistika,21,108,Unggul,S2,,
372018,001019,Statistika,32,813,Unggul,S1,,
372019,001019,Statistika,12,35,Unggul,S2,,
372020,001019,Ilmu Statistika,12,35,Unggul,S3,,
301015,001001,Statistika,21,285,Unggul,S1,,
362018,001038,Statistika,20,231,B,S1,,
111030,001011,Statistika,19,393,B,S1,,
49401,001003,Ilmu Statistika,23,34,Baik Sekali,D3,,
142073,001032,Statistika,16,223,B,D3,,
142020,001032,Statistika,34,331,Baik Sekali,S1,,
131030,001017,Statistika,15,181,B,S1,,
161021,001030,Statistika,16,201,B,S1,,
161022,001030,Statistika,5,23,Baik Sekali,S2,,
511028,001022,Statistika,20,307,Baik Sekali,S1,,
531039,001010,Statistika,19,224,B,S1,,
542016,002013,Statistika,8,123,B,S1,,
541012,001015,Statistika,18,328,B,S1,,
752031,001047,Statistika,35,319,Baik Sekali,S1,,
712025,001036,Statistika,23,493,Unggul,S1,,
711021,001005,Statistika,12,32,A,S1,,
711022,001005,Statistika,6,10,Baik Sekali,S2,,
731022,001028,Statistika,13,55,Baik Sekali,S1,,
751081,001029,Statistika,9,224,B,D3,,
751039,001029,Statistika,5,411,B,S1,,
811030,001021,Statistika,16,282,B,S1,,
911023,001018,Statistika,15,144,B,S1,,
