id_univ,id_wilayah ,nama_univ,akred_univ
2003,32.01,Institut Pertanian Bogor,Unggul
2013,64.71,Institut Teknologi Kalimantan,B
2002,35.78,Institut Teknologi Sepuluh November,A
335001,31.75,Sekolah Tinggi Ilmu Statistika,B
1004,35.78,Universitas Airlangga,A
1030,17.71,Universitas Bengkulu,B
1019,35.73,Universitas Brawijaya,A
1018,91.71,Universitas Cenderawasih,B
1008,33.74,Universitas Diponegoro,Unggul
1001,34.04,Universitas Gadjah Mada,A
1029,74.71,Universitas Halu Oleo,B
1005,73.71,Universitas Hasanuddin,A
1002,32.76,Universitas Indonesia,A
1010,63.71,Universitas Lambung Mangkurat,A
1015,64.72,Universitas Mulawarman,A
1047,75.71,Universitas Negeri Gorontalo,Unggul
1037,31.75,Universitas Negeri Jakarta,B
1036,73.71,Universitas Negeri Makassar,A
1032,13.71,Universitas Negeri Padang,A
1041,33.74,Universitas Negeri Semarang,A
1038,34.04,Universitas Negeri Yogyakarta,A
1007,32.11,Universitas Padjadjaran,Unggul
1021,81.71,Universitas Pattimura,B
1017,14.71,Universitas Riau,A
1027,33.72,Universitas Sebelas Maret,A
1003,12.71,Universitas Sumatera Utara,A
1011,11.71,Universitas Syiah Kuala,A
1028,72.71,Universitas Tadulako,B
1022,61.71,Universitas Tanjungpura,A
1031,36.73,Universitas Terbuka,B
