id_univ,id_wilayah ,nama_univ,akred_univ
001031,36.73,Universitas terbuka (UT),B
001037,31.75,Universitas Negeri Jakarta (UNJ),B
335001,31.75,sekolah tinggi ilmu statistika (stis),B
001002,32.76,Universitas Indonesia (UI),A
002003,32.01,Institut Pertanian Bogor (IPB),Unggul
001007,32.11,Universitas Padjadjaran (Unpad),Unggul
001041,33.74,Universitas Negeri Semarang (Unnes),A
001008,33.74,Universitas Diponegoro (Undip),Unggul
001027,33.72,Universitas Sebelas Maret (UNS),A
001004,35.78,Universitas Airlangga (Unair),A
002002,35.78,institut teknologi sepuluh november (ITS),A
001019,35.73,Universitas Brawijaya (UB),A
001001,34.04,Universitas Gadjah Mada (UGM),A
001038,34.04,Universitas Negeri Yogyakarta (UNY),A
001011,11.71,Universitas Syiah Kuala (Unsyiah),A
001003,12.71,Universitas Sumatera Utara (USU),A
001032,13.71,Universitas Negeri Padang,A
001017,14.71,Universitas Riau (Unri),A
001030,17.71,Universitas Bengkulu,B
001022,61.71,Universitas Tanjungpura (Untan),A
001010,63.71,Universitas Lambung Mangkurat (Unlam),A
002013,64.71,Institut Teknologi Kalimantan (ITK),B
001015,64.72,Universitas Mulawarman (Unmul),A
001047,75.71,Universitas Negeri Gorontalo,Unggul
001036,73.71,Universitas Negeri Makassar,A
001005,73.71,Universitas Hasanuddin (Unhas),A
001028,72.71,Universitas Tadulako,B
001029,74.71,Universitas Halu Oleo (UHO),B
001021,81.71,Universitas Pattimura,B
001018,91.71,Universitas Cenderawasih (Uncen),B
