id_wilayah ,nama_kabkota,nama_prov,
36.73,Serang,Banten,
31.75,Jakarta Timur,DKI Jakarta,
32.76,Depok,Jawa Barat ,
32.01,kabupaten Bogor,Jawa Barat ,
32.11,sumedang ,Jawa Barat ,
33.74,semarang ,Jawa Tengah ,
33.72,Surakarta,Jawa Tengah ,
35.78,surabaya ,Jawa Timur,
35.73,malang ,Jawa Timur,
34.04,Sleman,Yogyakarta,
11.71,Banda Aceh,Aceh,
12.71,Medan ,Sumatera Utara,
13.71,Padang ,Sumatera Barat,
14.71,Pekanbaru,Riau,
17.71,Bengkulu ,Riau,
61.71,Pontianak,Kalimantan Barat,
63.71,Banjarmasin,Kalimantan Selatan,
64.71,Balikpapan ,Kalimantan Timur,
64.72,Samarinda,Kalimantan Timur,
75.71,Gorontalo,Gorontalo,
73.71,Makasar ,Sulawesi Selatan,
72.71,Palu,Sulawesi Tengah,
74.71,Kendari,Sulawesi Tenggara,
81.71,Ambon ,Maluku ,
91.71,Jayapura,Papua ,
