id_wilayah ,nama_kabkota,nama_prov
36.73,Serang,banten
31.75,Jakarta Timur,DKI Jakarta
31.75,Jakarta Timur,DKI Jakarta
32.76,Depok,jawa barat 
32.01,kabupaten Bogor,jawa barat 
32.11,sumedang ,jawa barat 
33.74,semarang ,jawa tengah 
33.74,semarang ,jawa tengah 
33.72,Surakarta,jawa tengah 
35.78,surabaya ,jawa timur
35.78,surabaya ,jawa timur
35.73,malang ,jawa timur
34.04,Sleman,yogyakarta
34.04,Sleman,yogyakarta
11.71,Banda Aceh,Aceh
12.71,Medan ,Sumatera Utara
13.71,Padang ,Sumatera Barat
14.71,Pekanbaru,Riau
17.71,Bengkulu ,Riau
61.71,Pontianak,Kalimantan Barat
63.71,Banjarmasin,Kalimantan Selatan
64.71,Balikpapan ,Kalimantan Timur
64.72,Samarinda,Kalimantan Timur
75.71,Gorontalo,Gorontalo
73.71,Makasar ,Sulawesi Selatan
73.71,Makasar ,Sulawesi Selatan
72.71,Palu,Sulawesi Tengah
74.71,Kendari,Sulawesi Tenggara
81.71,Ambon ,Maluku 
91.71,Jayapura,Papua 
